ID,SpritePath,StringTableKey
string,SpritePath,string
None,Assets/CleanFlatUI/Textures/icon/icon_close.png,ST_Lobby
Background001,Assets/Sprites/Texture/T_Noise_01.png,ST_Lobby
Money,Assets/Sprites/UI/LobbyIcon.png=LobbyIcon_8,ST_Lobby
Energy,Assets/Sprites/UI/Page.png,ST_Lobby
Population,Assets/Sprites/UI/LobbyIcon.png=LobbyIcon_3,ST_Lobby
Class0,Assets/Sprites/Icons/Class.png=Class_0,
Extra,Assets/Sprites/UI/GroupPattern.png=GroupPattern_ETC,ST_WorldView
Phi,Assets/Sprites/UI/GroupPattern.png=GroupPattern=Phi,ST_WorldView
Meta,Assets/Sprites/UI/GroupPattern.png=GrouopPattern_Meta,ST_WorldView
GDI,Assets/Sprites/UI/GroupPattern.png=GroupPattern_GDI,ST_WorldView
Writer,Assets/Sprites/UI/GroupPattern.png=GroupPattern_Writer,ST_WorldView
Templar,Assets/Sprites/UI/GroupPattern.png=GroupPattern_Paladin,ST_WorldView
AMD,Assets/Sprites/UI/GroupPattern.png=GroupPattern_AMD,ST_WorldView
Uber,Assets/Sprites/UI/GroupPattern.png=GroupPattern=Uber,ST_WorldView
Consumer,Assets/Sprites/UI/GroupPattern.png=GroupPattern_Consumer,ST_WorldView
ACTP_ActionType,,ST_Action
ACTP_ActionType_Base,,ST_Action
ACTP_ActionType_Continuous,,ST_Action
ACTP_StrategyType,,ST_Action
ACTP_StrategyType_Base,,ST_Action
ACTP_StrategyType_Cast,,ST_Action
ACTP_StrategyType_Toggle,,ST_Action
ACTP_Interruptible,,ST_Action
ACTP_Interruptible_TRUE,,ST_Action
ACTP_Interruptible_FALSE,,ST_Action
ACTP_RequiredGameplayTags,,ST_Action
ACTP_AllowedProgresses,,ST_Action
ACTP_RequiredActions,,ST_Action
ACTP_RequireAmmo,,ST_Action
ACTP_PreDelay,,ST_Action
ACTP_Duration,,ST_Action
ACTP_PostDelay,,ST_Action
ACTP_CooldownTime,,ST_Action
ACTP_AllowedStates,,ST_Action
ACTP_ModifierIds,,ST_Action
ACTP_StatusEffectIds,,ST_Action
Action_Attack_Base,,ST_Action
Action_Attack_Base01,,ST_Action
Action_Attack_Base02,,ST_Action
Action_Attack_Sub,,ST_Action
Action_Dodge_Base,,ST_Action
Action_Reload_Base,,ST_Action
Action_Interact_Base,,ST_Action
Action_Cancel_Base,,ST_Action
Action_Skill_Base,,ST_Action
Action_Guard_Base,,ST_Action
Action_DashAttack_Base,,ST_Action
Action_FireAttack_Base,,ST_Action
